id;replicate;temperature;salinity;treatment;date;day;dead;total;alive;mortality_rate
1;1;15;15;heterosigma;03.03.21;0;0,00;3,00;3,00;0,00
2;2;15;15;heterosigma;03.03.21;0;0,00;7,00;7,00;0,00
3;3;15;15;heterosigma;03.03.21;0;0,00;6,00;6,00;0,00
4;4;15;15;heterosigma;03.03.21;0;0,00;2,00;2,00;0,00
5;1;15;30;heterosigma;03.03.21;0;0,00;3,00;3,00;0,00
6;2;15;30;heterosigma;03.03.21;0;0,00;3,00;3,00;0,00
7;3;15;30;heterosigma;03.03.21;0;0,00;2,00;2,00;0,00
8;4;15;30;heterosigma;03.03.21;0;0,00;4,00;4,00;0,00
9;1;15;15;heterocapsa;03.03.21;0;0,00;3,00;3,00;0,00
10;2;15;15;heterocapsa;03.03.21;0;0,00;7,00;7,00;0,00
11;3;15;15;heterocapsa;03.03.21;0;0,00;6,00;6,00;0,00
12;4;15;15;heterocapsa;03.03.21;0;0,00;2,00;2,00;0,00
13;1;15;30;heterocapsa;03.03.21;0;0,00;3,00;3,00;0,00
14;2;15;30;heterocapsa;03.03.21;0;0,00;3,00;3,00;0,00
15;3;15;30;heterocapsa;03.03.21;0;0,00;2,00;2,00;0,00
16;4;15;30;heterocapsa;03.03.21;0;0,00;4,00;4,00;0,00
17;1;15;15;both;03.03.21;0;0,00;3,00;3,00;0,00
18;1;15;15;both;03.03.21;0;0,00;7,00;7,00;0,00
19;2;15;15;both;03.03.21;0;0,00;6,00;6,00;0,00
20;2;15;15;both;03.03.21;0;0,00;2,00;2,00;0,00
21;3;15;30;both;03.03.21;0;0,00;3,00;3,00;0,00
22;3;15;30;both;03.03.21;0;0,00;3,00;3,00;0,00
23;4;15;30;both;03.03.21;0;0,00;2,00;2,00;0,00
24;4;15;30;both;03.03.21;0;0,00;4,00;4,00;0,00
25;1;22;15;heterosigma;03.03.21;0;0,00;3,00;3,00;0,00
26;2;22;15;heterosigma;03.03.21;0;0,00;7,00;7,00;0,00
27;3;22;15;heterosigma;03.03.21;0;0,00;6,00;6,00;0,00
28;4;22;15;heterosigma;03.03.21;0;0,00;2,00;2,00;0,00
29;1;22;30;heterosigma;03.03.21;0;0,00;3,00;3,00;0,00
30;2;22;30;heterosigma;03.03.21;0;0,00;3,00;3,00;0,00
31;3;22;30;heterosigma;03.03.21;0;0,00;2,00;2,00;0,00
32;4;22;30;heterosigma;03.03.21;0;0,00;4,00;4,00;0,00
33;1;22;15;heterocapsa;03.03.21;0;0,00;3,00;3,00;0,00
34;2;22;15;heterocapsa;03.03.21;0;0,00;7,00;7,00;0,00
35;3;22;15;heterocapsa;03.03.21;0;0,00;6,00;6,00;0,00
36;4;22;15;heterocapsa;03.03.21;0;0,00;2,00;2,00;0,00
37;1;22;30;heterocapsa;03.03.21;0;0,00;3,00;3,00;0,00
38;2;22;30;heterocapsa;03.03.21;0;0,00;3,00;3,00;0,00
39;3;22;30;heterocapsa;03.03.21;0;0,00;2,00;2,00;0,00
40;4;22;30;heterocapsa;03.03.21;0;0,00;4,00;4,00;0,00
41;1;22;15;both;03.03.21;0;0,00;3,00;3,00;0,00
42;1;22;15;both;03.03.21;0;0,00;7,00;7,00;0,00
43;2;22;15;both;03.03.21;0;0,00;6,00;6,00;0,00
44;2;22;15;both;03.03.21;0;0,00;2,00;2,00;0,00
45;3;22;30;both;03.03.21;0;0,00;3,00;3,00;0,00
