id;replicate;temperature;salinity;treatment;species;date;day;cells_per_ml;biovol_per_ml;counts;grid_count;magnification;grid area;biovolume
1;1;15;15;monoculture;heterosigma;03.01.21;0;5687,10;2768707,76;267,00;6,00;10,00;1,00;486,84
2;2;15;15;monoculture;heterosigma;03.01.21;0;3834,00;1866544,56;180,00;6,00;10,00;1,00;486,84
3;3;15;15;monoculture;heterosigma;03.01.21;0;3429,30;1669520,41;161,00;6,00;10,00;1,00;486,84
4;4;15;15;monoculture;heterosigma;03.01.21;0;4025,70;1959871,79;189,00;6,00;10,00;1,00;486,84
5;1;15;30;monoculture;heterosigma;03.01.21;0;5559,30;2706489,61;261,00;6,00;10,00;1,00;486,84
6;2;15;30;monoculture;heterosigma;03.01.21;0;4536,90;2208744,40;213,00;6,00;10,00;1,00;486,84
7;3;15;30;monoculture;heterosigma;03.01.21;0;3684,90;1793956,72;173,00;6,00;10,00;1,00;486,84
8;4;15;30;monoculture;heterosigma;03.01.21;0;4856,40;2364289,78;228,00;6,00;10,00;1,00;486,84
9;1;15;15;monoculture;heterocapsa;03.01.21;0;30672,00;3501208,80;360,00;6,00;20,00;0,25;114,15
10;2;15;15;monoculture;heterocapsa;03.01.21;0;35869,20;4094469,18;421,00;6,00;20,00;0,25;114,15
11;3;15;15;monoculture;heterocapsa;03.01.21;0;26582,40;3034380,96;312,00;6,00;20,00;0,25;114,15
12;4;15;15;monoculture;heterocapsa;03.01.21;0;29138,40;3326148,36;342,00;6,00;20,00;0,25;114,15
13;1;15;30;monoculture;heterocapsa;03.01.21;0;37828,80;4318157,52;444,00;6,00;20,00;0,25;114,15
14;2;15;30;monoculture;heterocapsa;03.01.21;0;35102,40;4006938,96;412,00;6,00;20,00;0,25;114,15
15;3;15;30;monoculture;heterocapsa;03.01.21;0;37743,60;4308431,94;443,00;6,00;20,00;0,25;114,15
16;4;15;30;monoculture;heterocapsa;03.01.21;0;39192,00;4473766,80;460,00;6,00;20,00;0,25;114,15
17;1;15;15;competition;heterosigma;03.01.21;0;5026,80;2447247,31;59,00;6,00;20,00;0,25;486,84
17;1;15;15;competition;heterocapsa;03.01.21;0;23089,20;2635632,18;271,00;6,00;20,00;0,25;114,15
18;2;15;15;competition;heterosigma;03.01.21;0;5708,40;2779077,46;67,00;6,00;20,00;0,25;486,84
18;2;15;15;competition;heterocapsa;03.01.21;0;24793,20;2830143,78;291,00;6,00;20,00;0,25;114,15
19;3;15;15;competition;heterosigma;03.01.21;0;6986,40;3401258,98;82,00;6,00;20,00;0,25;486,84
19;3;15;15;competition;heterocapsa;03.01.21;0;24793,20;2830143,78;291,00;6,00;20,00;0,25;114,15
20;4;15;15;competition;heterosigma;03.01.21;0;4941,60;2405768,54;58,00;6,00;20,00;0,25;486,84
20;4;15;15;competition;heterocapsa;03.01.21;0;22066,80;2518925,22;259,00;6,00;20,00;0,25;114,15
21;1;15;30;competition;heterosigma;03.01.21;0;5197,20;2530204,85;61,00;6,00;20,00;0,25;486,84
21;1;15;30;competition;heterocapsa;03.01.21;0;24878,40;2839869,36;292,00;6,00;20,00;0,25;114,15
22;2;15;30;competition;heterosigma;03.01.21;0;4515,60;2198374,70;53,00;6,00;20,00;0,25;486,84
22;2;15;30;competition;heterocapsa;03.01.21;0;27434,40;3131636,76;322,00;6,00;20,00;0,25;114,15
23;3;15;30;competition;heterosigma;03.01.21;0;5197,20;2530204,85;61,00;6,00;20,00;0,25;486,84
23;3;15;30;competition;heterocapsa;03.01.21;0;25304,40;2888497,26;297,00;6,00;20,00;0,25;114,15
24;4;15;30;competition;heterosigma;03.01.21;0;4600,80;2239853,47;54,00;6,00;20,00;0,25;486,84
24;4;15;30;competition;heterocapsa;03.01.21;0;22066,80;2518925,22;259,00;6,00;20,00;0,25;114,15
25;1;22;15;monoculture;heterosigma;03.01.21;0;3173,70;1545084,11;149,00;6,00;10,00;1,00;486,84
26;2;22;15;monoculture;heterosigma;03.01.21;0;2918,10;1420647,80;137,00;6,00;10,00;1,00;486,84
27;3;22;15;monoculture;heterosigma;03.01.21;0;3855,30;1876914,25;181,00;6,00;10,00;1,00;486,84
28;4;22;15;monoculture;heterosigma;03.01.21;0;3003,30;1462126,57;141,00;6,00;10,00;1,00;486,84
29;1;22;30;monoculture;heterosigma;03.01.21;0;4068,30;1980611,17;191,00;6,00;10,00;1,00;486,84
30;2;22;30;monoculture;heterosigma;03.01.21;0;3983,10;1939132,40;187,00;6,00;10,00;1,00;486,84
31;3;22;30;monoculture;heterosigma;03.01.21;0;3493,20;1700629,49;164,00;6,00;10,00;1,00;486,84
32;4;22;30;monoculture;heterosigma;03.01.21;0;3003,30;1462126,57;141,00;6,00;10,00;1,00;486,84
