id;replicate;temperature;salinity;treatment;grazing;species;date;day;cells_per_ml;biovol_per_ml;counts;grid_count ;magnification;grid_area;biovolume 
1;1;16;15;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
2;2;16;15;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
3;3;16;15;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
4;1;16;15;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
5;2;16;15;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
6;3;16;15;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
7;1;16;15;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
7;1;16;15;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
8;2;16;15;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
8;2;16;15;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
9;3;16;15;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
9;3;16;15;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
10;1;16;15;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
11;2;16;15;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
12;3;16;15;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
13;1;16;15;heterocapsa  ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
14;2;16;15;heterocapsa  ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
15;3;16;15;heterocapsa  ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
16;1;16;15;both ;yes;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
16;1;16;15;both ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
17;2;16;15;both ;yes;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
17;2;16;15;both ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
18;3;16;15;both ;yes;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
18;3;16;15;both ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
19;1;16;30;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
20;2;16;30;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
21;3;16;30;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
22;1;16;30;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
23;2;16;30;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
24;3;16;30;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
25;1;16;30;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
25;1;16;30;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
26;2;16;30;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
26;2;16;30;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
27;3;16;30;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
27;3;16;30;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
28;1;16;30;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
29;2;16;30;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
