id;replicate;temperature;salinity;treatment;grazing;date;day;dead;total;alive_per_mL;mortality_rate
10;1;16;15;heterosigma ;yes;23.03.21;0;0;10;1;0
11;2;16;15;heterosigma ;yes;23.03.21;0;0;10;1;0
12;3;16;15;heterosigma ;yes;23.03.21;0;0;10;1;0
13;1;16;15;heterocapsa  ;yes;23.03.21;0;0;10;1;0
14;2;16;15;heterocapsa  ;yes;23.03.21;0;0;10;1;0
15;3;16;15;heterocapsa  ;yes;23.03.21;0;0;10;1;0
16;1;16;15;both ;yes;23.03.21;0;0;10;1;0
17;2;16;15;both ;yes;23.03.21;0;0;10;1;0
18;3;16;15;both ;yes;23.03.21;0;0;10;1;0
28;1;16;30;heterosigma ;yes;23.03.21;0;0;10;1;0
29;2;16;30;heterosigma ;yes;23.03.21;0;0;10;1;0
30;3;16;30;heterosigma ;yes;23.03.21;0;0;10;1;0
31;1;16;30;heterocapsa  ;yes;23.03.21;0;0;10;1;0
32;2;16;30;heterocapsa  ;yes;23.03.21;0;0;10;1;0
33;3;16;30;heterocapsa  ;yes;23.03.21;0;0;10;1;0
34;1;16;30;both ;yes;23.03.21;0;0;10;1;0
35;2;16;30;both ;yes;23.03.21;0;0;10;1;0
36;3;16;30;both ;yes;23.03.21;0;0;10;1;0
10;1;16;15;heterosigma ;yes;23.03.21;3;0;6;0,6;0
11;2;16;15;heterosigma ;yes;23.03.21;3;2;10;0,8;20
12;3;16;15;heterosigma ;yes;23.03.21;3;0;12;1,2;0
13;1;16;15;heterocapsa  ;yes;23.03.21;3;0;11;1,1;0
14;2;16;15;heterocapsa  ;yes;23.03.21;3;4;20;1,6;20
15;3;16;15;heterocapsa  ;yes;23.03.21;3;2;11;0,9;18,18181818
16;1;16;15;both ;yes;23.03.21;3;0;15;1,5;0
17;2;16;15;both ;yes;23.03.21;3;2;14;1,2;14,28571429
18;3;16;15;both ;yes;23.03.21;3;2;12;1;16,66666667
28;1;16;30;heterosigma ;yes;23.03.21;3;9;16;0,7;56,25
29;2;16;30;heterosigma ;yes;23.03.21;3;1;9;0,8;11,11111111
30;3;16;30;heterosigma ;yes;23.03.21;3;0;11;1,1;0
31;1;16;30;heterocapsa  ;yes;23.03.21;3;0;5;0,5;0
32;2;16;30;heterocapsa  ;yes;23.03.21;3;0;6;0,6;0
33;3;16;30;heterocapsa  ;yes;23.03.21;3;0;22;2,2;0
34;1;16;30;both ;yes;23.03.21;3;0;17;1,7;0
35;2;16;30;both ;yes;23.03.21;3;0;7;0,7;0
36;3;16;30;both ;yes;23.03.21;3;1;7;0,6;14,28571429
10;1;16;15;heterosigma ;yes;23.03.21;6;2;8;0,6;25
11;2;16;15;heterosigma ;yes;23.03.21;6;0;8;0,8;0
12;3;16;15;heterosigma ;yes;23.03.21;6;5;14;0,9;35,71428571
13;1;16;15;heterocapsa  ;yes;23.03.21;6;0;31;3,1;0
14;2;16;15;heterocapsa  ;yes;23.03.21;6;3;29;2,6;10,34482759
15;3;16;15;heterocapsa  ;yes;23.03.21;6;2;29;2,7;6,896551724
16;1;16;15;both ;yes;23.03.21;6;1;24;2,3;4,166666667
17;2;16;15;both ;yes;23.03.21;6;3;18;1,5;16,66666667
18;3;16;15;both ;yes;23.03.21;6;0;15;1,5;0
28;1;16;30;heterosigma ;yes;23.03.21;6;6;7;0,1;85,71428571
29;2;16;30;heterosigma ;yes;23.03.21;6;6;8;0,2;75
30;3;16;30;heterosigma ;yes;23.03.21;6;2;6;0,4;33,33333333
31;1;16;30;heterocapsa  ;yes;23.03.21;6;1;13;1,2;7,692307692
32;2;16;30;heterocapsa  ;yes;23.03.21;6;3;30;2,7;10
33;3;16;30;heterocapsa  ;yes;23.03.21;6;3;25;2,2;12
34;1;16;30;both ;yes;23.03.21;6;1;8;0,7;12,5
35;2;16;30;both ;yes;23.03.21;6;2;19;1,7;10,52631579
36;3;16;30;both ;yes;23.03.21;6;1;15;1,4;6,666666667
